iter	Passed	Remaining
0	81	80975
1	126	63004
2	171	56857
3	216	53997
4	261	52028
5	306	50742
6	351	49853
7	396	49166
8	443	48831
9	481	47698
10	518	46598
11	553	45547
12	591	44924
13	636	44842
14	687	45121
15	741	45573
16	787	45564
17	837	45669
18	881	45506
19	925	45335
20	974	45416
21	1019	45317
22	1063	45171
23	1107	45043
24	1152	44929
25	1195	44803
26	1247	44961
27	1291	44822
28	1335	44710
29	1379	44619
30	1426	44586
31	1472	44549
32	1517	44462
33	1562	44401
34	1608	44354
35	1653	44264
36	1699	44224
37	1745	44176
38	1790	44108
39	1835	44059
40	1880	43986
41	1925	43919
42	1969	43827
43	2013	43758
44	2058	43679
45	2104	43644
46	2149	43587
47	2195	43553
48	2242	43528
49	2288	43475
50	2332	43400
51	2376	43330
52	2422	43293
53	2469	43258
54	2516	43229
55	2562	43202
56	2602	43054
57	2640	42891
58	2679	42740
59	2718	42586
60	2761	42510
61	2807	42469
62	2851	42415
63	2897	42382
64	2943	42335
65	2988	42289
66	3035	42266
67	3088	42330
68	3132	42264
69	3177	42217
70	3222	42163
71	3266	42102
72	3312	42062
73	3356	41999
74	3401	41948
75	3447	41914
76	3493	41876
77	3537	41817
78	3581	41756
79	3627	41715
80	3674	41689
81	3722	41674
82	3767	41626
83	3812	41577
84	3858	41534
85	3904	41492
86	3948	41439
87	3994	41399
88	4039	41346
89	4085	41304
90	4130	41259
91	4175	41208
92	4222	41179
93	4267	41129
94	4312	41077
95	4356	41027
96	4401	40974
97	4445	40917
98	4492	40884
99	4536	40827
100	4580	40771
101	4625	40724
102	4671	40682
103	4716	40631
104	4758	40560
105	4796	40456
106	4833	40340
107	4870	40224
108	4915	40179
109	4960	40131
110	5004	40080
111	5048	40027
112	5092	39976
113	5140	39948
114	5192	39960
115	5237	39914
116	5283	39874
117	5329	39839
118	5375	39793
119	5420	39747
120	5465	39701
121	5491	39520
122	5536	39479
123	5581	39433
124	5626	39383
125	5671	39339
126	5716	39298
127	5762	39258
128	5807	39212
129	5852	39169
130	5899	39132
131	5943	39085
132	5988	39038
133	6005	38809
134	6049	38760
135	6093	38708
136	6138	38667
137	6182	38619
138	6228	38579
139	6272	38532
140	6318	38496
141	6363	38447
142	6408	38404
143	6452	38357
144	6497	38315
145	6544	38279
146	6589	38235
147	6635	38196
148	6680	38156
149	6725	38112
150	6770	38067
151	6815	38023
152	6860	37978
153	6901	37915
154	6938	37825
155	6976	37746
156	7015	37669
157	7060	37627
158	7106	37586
159	7150	37541
160	7195	37497
161	7241	37458
162	7288	37427
163	7338	37410
164	7383	37364
165	7429	37325
166	7474	37282
167	7518	37235
168	7563	37193
169	7609	37152
170	7654	37108
171	7700	37070
172	7745	37027
173	7790	36982
174	7835	36936
175	7880	36895
176	7924	36846
177	7970	36805
178	8015	36766
179	8060	36720
180	8106	36680
181	8151	36636
182	8196	36592
183	8242	36554
184	8287	36509
185	8332	36464
186	8376	36419
187	8422	36377
188	8467	36332
189	8513	36293
190	8558	36249
191	8603	36208
192	8649	36167
193	8693	36119
194	8738	36073
195	8783	36029
196	8827	35983
197	8871	35935
198	8917	35894
199	8962	35848
200	9006	35800
201	9048	35744
202	9083	35663
203	9120	35587
204	9157	35514
205	9204	35478
206	9251	35439
207	9296	35398
208	9342	35358
209	9388	35318
210	9440	35299
211	9483	35250
212	9528	35205
213	9572	35160
214	9618	35117
215	9663	35073
216	9708	35031
217	9753	34987
218	9798	34942
219	9843	34901
220	9889	34860
221	9934	34813
222	9978	34767
223	10022	34722
224	10069	34683
225	10115	34643
226	10160	34600
227	10206	34557
228	10251	34515
229	10298	34476
230	10342	34431
231	10388	34388
232	10431	34340
233	10477	34297
234	10523	34257
235	10567	34210
236	10612	34165
237	10658	34125
238	10704	34082
239	10749	34039
240	10793	33992
241	10838	33948
242	10883	33905
243	10929	33862
244	10974	33820
245	11019	33775
246	11063	33728
247	11108	33682
248	11153	33638
249	11192	33578
250	11228	33507
251	11267	33445
252	11307	33385
253	11352	33343
254	11398	33301
255	11443	33259
256	11491	33222
257	11543	33198
258	11587	33151
259	11632	33107
260	11677	33062
261	11722	33020
262	11768	32978
